Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_6,J_5,J_4,J_3,J_2,Avg_last_5_games,Value,img,squad_img
1,Athletic Club,Unai Simón,PT,6,100,0,1,27,4.5,"['5', '8', '2', '2', '2']",5,8,2,2,2,3.8,4580000,https://www.comuniate.com/caras3/2669.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Agirrezabala,PT,6,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,360000,https://www.comuniate.com/caras3/3140.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Ander Iru,PT,6,0,3,1,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000,https://www.comuniate.com/caras3/3309.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,De Marcos,DF,6,100,0,0,34,5.7,"['7', '9', '5', '4', '2']",7,9,5,4,2,5.4,5570000,https://www.comuniate.com/caras3/1032.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Yeray Álvarez,DF,6,83,2,0,30,6,"['8', '8', '5', '-', '3']",8,8,5,0,3,4.8,5310000,https://www.comuniate.com/caras3/2326.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Daniel Vivian,DF,6,83,2,0,23,4.6,"['4', '9', '4', '1', '-']",4,9,4,1,0,3.6,3150000,https://www.comuniate.com/caras3/2968.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Lekue,DF,5,67,0,1,17,4.3,"['-', '8', '3', '2', '4']",0,8,3,2,4,3.4,1230000,https://www.comuniate.com/caras3/2140.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Yuri Berchiche,DF,5,33,0,0,14,7,"['6', '-', '-', '-', '-']",6,0,0,0,0,1.2,5040000,https://www.comuniate.com/caras3/1074.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Iñigo Martínez,DF,6,33,2,1,9,4.5,"['-', '-', '-', '5', '4']",0,0,0,5,4,1.8,6120000,https://www.comuniate.com/caras3/1424.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Capa,DF,5,0,0,1,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,610000,https://www.comuniate.com/caras3/1866.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Balenziaga,DF,4,0,0,1,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,340000,https://www.comuniate.com/caras3/937.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Álex Berenguer,MD,2,100,0,0,55,9.2,"['11', '11', '9', '13', '7']",11,11,9,13,7,10.2,9550000,https://www.comuniate.com/caras3/2241.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Nico Williams,MD,2,83,0,0,48,8,"['2', '9', '5', '12', '14']",2,9,5,12,14,8.4,8960000,https://www.comuniate.com/caras3/3084.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Muniain,MD,3,100,0,1,27,4.5,"['8', '7', '5', '4', '0']",8,7,5,4,0,4.8,11930000,https://www.comuniate.com/caras3/1053.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Mikel Vesga,MD,1,67,0,0,26,5.2,"['5', '5', '5', '4', '-']",5,5,5,4,0,3.8,3680000,https://www.comuniate.com/caras3/2305.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Jon Morcillo,MD,6,0,0,0,9,1.8,"['2', '-', '-', '3', '2']",2,0,0,3,2,1.4,500000,https://www.comuniate.com/caras3/2994.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Zarraga,MD,4,0,2,0,9,2.3,"['-', '-', '2', '4', '2']",0,0,2,4,2,1.6,700000,https://www.comuniate.com/caras3/3030.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Dani García,MD,4,33,0,0,7,2.3,"['-', '-', '-', '2', '5']",0,0,0,2,5,1.4,1040000,https://www.comuniate.com/caras3/1864.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
