reservation_id,booking_date,checkin_date,checkout_date,channel_code,main_product_code,numberofadults,numberofchildren,persontravellingid,resort_region_code,resort_type_code,room_type_booked_code,roomnights,season_holidayed_code,state_code_residence,state_code_resort,total_pax,member_age_buckets,booking_type_code,memberid,cluster_code,reservationstatusid_code,resort_id
7dae1ce6bc8f69481328f2be5c4943077dad5598b5f66d4787cb4596e3086b4f,05/04/18,05/04/18,06/04/18,3,2,2,0,45,3,3,4,1,2.0,2.0,3,3,H,1,2114944930dcc42ce5b9b50ae965cf8a9c04e46be63d8429af7996855fec3b12,A,C,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
fe0d4e444e1818436c88f72f1cf800536c2f785e59baeb1946e644b405d6233c,24/05/15,23/06/15,27/06/15,1,2,4,0,45,1,1,4,8,2.0,2.0,4,2,H,1,2114944930dcc42ce5b9b50ae965cf8a9c04e46be63d8429af7996855fec3b12,F,A,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683
540bd4285ad8168e8388f84ee74a82cd4f97dc0a404d3e38f40dcb4ce0c4f552,21/07/15,07/08/15,10/08/15,3,2,3,0,45,2,2,2,3,4.0,2.0,2,3,H,1,2114944930dcc42ce5b9b50ae965cf8a9c04e46be63d8429af7996855fec3b12,D,A,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35
09593c907ae262e46f655b4db9e14f54a19eadcfdd26796a33cc98b01c6095c4,31/07/15,22/10/15,25/10/15,1,2,3,0,45,1,1,2,3,2.0,2.0,6,3,H,1,2114944930dcc42ce5b9b50ae965cf8a9c04e46be63d8429af7996855fec3b12,F,A,49d180ecf56132819571bf39d9b7b342522a2ac6d23c1418d3338251bfe469c8
f4c50caac68051faf37551d70bb17eebef2a20e2244cb1b2d117cd6602737ec1,01/07/16,01/10/16,05/10/16,1,2,4,0,45,1,2,3,8,2.0,2.0,11,2,H,1,2114944930dcc42ce5b9b50ae965cf8a9c04e46be63d8429af7996855fec3b12,F,A,e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b
69a8c691057e9396eaa23625a47435eebda41102b83dfb0d105c786f01495eb6,31/07/17,15/08/17,19/08/17,1,2,2,0,45,1,1,2,4,2.0,2.0,6,3,H,1,2114944930dcc42ce5b9b50ae965cf8a9c04e46be63d8429af7996855fec3b12,F,A,b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9
0cee97bb4f3b15493d20994fc4ef34b54d778f8eb7e6d3caf510409ee3fa644c,02/10/17,18/01/18,22/01/18,1,2,2,0,45,2,2,2,4,2.0,2.0,2,2,H,1,2114944930dcc42ce5b9b50ae965cf8a9c04e46be63d8429af7996855fec3b12,D,A,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35
13fd266f2859828250494a72c5e14d12dfdb6cac0983d8faeec88bcbf5d1bf18,05/04/18,05/04/18,06/04/18,3,2,2,0,45,1,5,4,1,3.0,,1,4,D,1,ba9c03d4f964eb145ffc0ba7d07aa0b08e35cb3e8f71bc9211d336dc5be89f04,E,C,c75cb66ae28d8ebc6eded002c28a8ba0d06d3a78c6b5cbf9b2ade051f0775ac4
8a0e44a731edd24628fa9e9d5d2ed9b22f07e91b6881f24f42dd260962fd35a1,19/06/17,02/07/17,04/07/17,1,2,2,2,45,1,1,2,2,3.0,,6,4,D,1,ba9c03d4f964eb145ffc0ba7d07aa0b08e35cb3e8f71bc9211d336dc5be89f04,F,A,b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9
c3bdb69eedad1a992df7be568e50da86a4e1de8ad7ff3604a501a654c37f7aad,12/02/18,19/02/18,21/02/18,2,2,2,0,45,1,1,2,2,4.0,,6,3,D,1,ba9c03d4f964eb145ffc0ba7d07aa0b08e35cb3e8f71bc9211d336dc5be89f04,F,A,b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9
dda0409fb2127899829ec700d635f81ca656081af07e92d4fab50c2b3d725a5f,20/02/18,03/04/18,05/04/18,1,2,2,2,45,1,5,2,3,2.0,,1,4,D,1,ba9c03d4f964eb145ffc0ba7d07aa0b08e35cb3e8f71bc9211d336dc5be89f04,E,A,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790
9e086496b64ce3b184f41f76f93dd294bfa47b735ec53e5474b8e277de79bdf3,12/03/18,23/03/18,25/03/18,3,2,6,0,45,1,1,3,4,3.0,,4,3,D,1,ba9c03d4f964eb145ffc0ba7d07aa0b08e35cb3e8f71bc9211d336dc5be89f04,F,A,3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278
f8909ee404b8c0b63356700b32cbb49b85999aedfbc477e13e16b78e485172ad,04/01/19,17/01/19,21/01/19,1,2,3,0,45,3,3,3,4,3.0,,3,4,D,1,ba9c03d4f964eb145ffc0ba7d07aa0b08e35cb3e8f71bc9211d336dc5be89f04,A,A,7f2253d7e228b22a08bda1f09c516f6fead81df6536eb02fa991a34bb38d9be8
23ca371a7498da634cc333116b848da08af9ba5e7880e84505afc1bf9c045545,20/01/19,19/02/19,21/02/19,2,2,2,0,45,1,2,3,2,4.0,,11,3,D,1,ba9c03d4f964eb145ffc0ba7d07aa0b08e35cb3e8f71bc9211d336dc5be89f04,F,A,e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b
32c2bd7ff3b0d092e046dd10811f0bee2a896fc241e76e84315cd8da312bc42a,03/03/18,06/04/18,07/04/18,3,2,4,0,45,2,1,4,4,2.0,8.0,7,1,F,1,4f64b4eeb62f411e9a8d8d16a24cac5be582af18d7bd5b47af9c648f5118a7d1,C,A,9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767
7851d4c09b327e1ae935e158de1c448d69d56fc22aecc0b5e1b0b828d886ad4e,11/07/15,11/07/15,12/07/15,3,2,4,0,45,2,2,4,1,4.0,8.0,2,5,F,1,4f64b4eeb62f411e9a8d8d16a24cac5be582af18d7bd5b47af9c648f5118a7d1,D,A,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35
6b1ecc1e74ab96e77096d2da2d199e437537bed7aab1ebf8e14bea59ab6e6136,04/01/16,18/02/16,19/02/16,3,2,2,0,45,2,1,4,5,4.0,8.0,7,2,F,1,4f64b4eeb62f411e9a8d8d16a24cac5be582af18d7bd5b47af9c648f5118a7d1,C,B,9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767
6526b012e84cb02f904fec5becc67421fc170f13949c8713b21bc3491a062c17,21/05/16,04/08/16,05/08/16,1,2,6,0,45,2,2,1,2,4.0,8.0,2,3,F,1,4f64b4eeb62f411e9a8d8d16a24cac5be582af18d7bd5b47af9c648f5118a7d1,D,C,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35
